F232PSA001	,WKS P5_PSA含氧量&壓力值異常通知
F232PTVAC001	,WKS P5_印刷機真空負壓異常
F232FEM001	,WKS P5_廠務能源系統
WKSAGV002	,WKS_AGV空貨架數量預警
WKSDMM001	,WKS_FMS/DMM維修單通知
WKSISGFN001	,WKS_IT SCADA
WKSOP1SFC001	,WKS_OP1系統運行監控(生產相關) 
WKSDEMO001	,WKS_異常事件展演
WKSCIA001	,WKS_轉廠車異常報警
WKSCIA002	,WKS_轉廠車異常報警(僅通知)
F136TIDC001	,WZS P1_EBG工程看板
F136MTPVIEW001	,WZS P1_Mounter拋料率異常通知
F136MTVAC001	,WZS P1_Mounter真空負壓異常
F136PSA001	,WZS P1_PSA含氧量&壓力值異常通知
F136PTVAC001	,WZS P1_印刷機真空負壓異常
F136FEM001	,WZS P1_廠務能源系統
F130PTVAC001	,WZS P3(130)_印刷機真空負壓異常
F131PTVAC001	,WZS P3(131)_印刷機真空負壓異常
F130MTVAC001	,WZS P3(F130)_Mounter真空負壓異常
F130PSA001	,WZS P3(F130)_PSA含氧量&壓力值異常通知
F130FEM001	,WZS P3(F130)_廠務能源系統
F131MTVAC001	,WZS P3(F131)_Mounter真空負壓異常
F131PSA001	,WZS P3(F131)_PSA含氧量&壓力值異常通知
F131FEM001	,WZS P3(F131)_廠務能源系統
F135FEM001	,WZS P3(F135)_廠務能源系統
F131MTPVIEW001	,WZS P3_Mounter拋料率異常通知
F131PCBA001	,WZS P3_PCBA設備異常報警通知
F132FEM001	,WZS P6(F132)_廠務能源系統
F138FEM001	,WZS P6(F138)_廠務能源系統
F138MTVAC001	,WZS P6_Mounter真空負壓異常
F138PSA001	,WZS P6_PSA含氧量&壓力值異常通知
F138PTVAC001	,WZS P6_印刷機真空負壓異常
F139MTPVIEW001	,WZS P8_Mounter拋料率異常通知
F139MTVAC001	,WZS P8_Mounter真空負壓異常
F139PSA001	,WZS P8_PSA含氧量&壓力值異常通知
F139PTVAC001	,WZS P8_印刷機真空負壓異常
F139FEM001	,WZS P8_廠務能源系統
WZSISGFN001	,WZS_IT SCADA
